x,y,z,rx,ry,rz,q1,q2,q3,q4,q5,q6,vx,vy,vz,wx,wy,wz,vx_t,vy_t,vz_t,wx_t,wy_t,wz_t,print
-0.3282036960312449,-0.4473902075412828,1.0615573513119139,-0.7271399141438767,-1.7542612426205164,1.7755724273358866,0.09758267551660538,-2.013984982167379,1.6136393547058105,-2.7523048559771937,-0.8848760763751429,0.011721321381628513,-0.06691415490737106,-0.06976918074381999,-0.0023545080829922927,-0.0026515450569901907,-0.010364946974036813,0.0053526780817275965,-0.07082015051142394,-0.07445145344745067,-0.0012802794190180423,-4.852070960079764e-05,-4.801080536340728e-05,-0.00015195739735438028,False
-0.32880551276509723,-0.44799478837397333,1.0615199803513775,-0.7272329353329614,-1.7543185217005228,1.7755291625343066,0.09966718405485153,-2.01252252260317,1.6129555702209473,-2.752964798604147,-0.8869846502887171,0.011661400087177753,-0.08047465129486954,-0.0831239383443697,-0.002494990217060459,0.0018213414842699217,-0.005991794207917881,0.0014735705663919694,-0.08502279994283894,-0.08938234365844129,-0.001537033457739135,-5.825131057273728e-05,-5.763914718039283e-05,-0.0001824317412854407,False
-0.3295311866019273,-0.448713618032643,1.0615032090113359,-0.7273678479578307,-1.7543223767343707,1.7754804379511382,0.1021471694111824,-2.0107601324664515,1.6120924949645996,-2.7537687460528772,-0.8895366827594202,0.011625447310507298,-0.09487124196652003,-0.09800369855785734,-0.0011450253791097514,-0.0008871938646828298,-0.0036629057159494804,0.0005966976606822502,-0.09604940319546129,-0.10097433592740716,-0.001736371258521269,-6.580592046050594e-05,-6.511436526651909e-05,-0.00020609130555008842,False
-0.33033822752738723,-0.449539738491603,1.0615039385507157,-0.7274347796675419,-1.754254184878138,1.7754438256969016,0.10498668253421783,-2.0087459723102015,1.6110854148864746,-2.7547643820392054,-0.8924601713763636,0.011589120142161846,-0.10363971054344168,-0.1089993209943684,0.00153400990517282,-0.0035078021220676324,3.992708842077671e-05,0.0027376170188700114,-0.10707600645017638,-0.1125663281874834,-0.0019357090582653965,-7.336053032321304e-05,-7.258958313652569e-05,-0.00022975086961666842,False
-0.33116807870857545,-0.45047780015349426,1.0615046491318534,-0.7273666111726689,-1.7542274509380802,1.7754139979555108,0.10817410796880722,-2.006552044545309,1.6099705696105957,-2.7558444182025355,-0.8956592718707483,0.011481262743473053,-0.1136336375107021,-0.12245087621170594,-0.0007913193179882201,0.001515612453860166,0.0005438801555941227,0.007927823299205146,-0.11810260970548085,-0.1241583204456445,-0.0021350468577950774,-8.091514019034456e-05,-8.006480096128896e-05,-0.00025341043364873967,False
-0.3322180806665518,-0.4514931476041269,1.0614668950771533,-0.7275224159371508,-1.7542888945410913,1.7754268262975395,0.11154055595397949,-2.0040229002581995,1.6087474822998047,-2.757019821797506,-0.8990376631366175,0.011469278484582901,-0.12711109615646107,-0.13331271158951447,-0.0030858811059506852,-0.0027027376710861625,-0.007144861251603086,0.007532331119845166,-0.12912921296132807,-0.13575031270233953,-0.002334384657161518,-8.8469750068371e-05,-8.754001875675276e-05,-0.00027706999766024246,False
-0.33330687492673694,-0.45260062893670905,1.0614294822507089,-0.7275272618669878,-1.7543211745480587,1.775380366235132,0.11518301069736481,-2.0013249556170862,1.6074166297912598,-2.758303944264547,-0.9026921431170862,0.011349061504006386,-0.14017532711189232,-0.1442037138388411,-0.005398711831011042,0.006853409160918181,0.0010919630453111503,0.001383955493192009,-0.14015581621765896,-0.14734230495786366,-0.0025337224564073047,-9.602435995542235e-05,-9.501523653422661e-05,-0.00030072956166049016,False
-0.33451794453257105,-0.45380719484159,1.0613840495576223,-0.7275958297372421,-1.7543575925703072,1.7753669607410432,0.11910072714090347,-1.9983633200274866,1.6059660911560059,-2.759719196950094,-0.9066222349749964,0.011277155950665474,-0.15265052344313623,-0.15665172684081022,-0.0052845698397016245,-0.0005819755604996877,-0.011953582614614905,0.002405791771506148,-0.15118241947442979,-0.15893429721259336,-0.0027330602555728596,-0.00010357896986004037,-0.00010249045430828479,-0.0003243891256632694,False
-0.33580777439418785,-0.4550979251374051,1.0613166794514335,-0.7277534093195377,-1.7544462284226825,1.7753319800598981,0.12324614822864532,-1.995234791432516,1.604443073272705,-2.761146847401754,-0.9107921759234827,0.011205250397324562,-0.1627189705572736,-0.16921933914728565,-0.006561045917335173,0.004952691829742064,-0.0013136455289400242,0.005007331392217673,-0.16220902273158544,-0.1705262894668367,-0.0029323980546953486,-0.00011113357977933502,-0.00010996567209128026,-0.00034804868968327246,False
-0.33716308922218297,-0.4565013889809082,1.061273676310343,-0.7277200182837446,-1.7545045689554941,1.7753455492017658,0.12767955660820007,-1.9918416182147425,1.6027402877807617,-2.76276666322817,-0.9151766935931605,0.011097017675638199,-0.1743458333796889,-0.17905088062782795,-0.004816977291397673,0.0006065371897696062,-0.002486868153430093,-9.805684469611706e-05,-0.1732356259890563,-0.18211828172096323,-0.003131735853810768,-0.00011868818971606451,-0.00011744088989133934,-0.0003717082537230941,False
